1750,1244.5079348883237
2125,-1
3250,1479.9776908465376
3625,-1
4000,1661.2187903197807
4375,-1
7750,1244.5079348883237
8125,-1
9250,1479.9776908465376
9625,-1
10000,1661.2187903197807
10375,-1
13750,1244.5079348883237
14125,-1
15250,1479.9776908465376
15625,-1
16000,1661.2187903197807
16375,-1
16750,622.2539674441618
18250,-1
18250,739.9888454232688
19000,-1
19000,554.3652619537442
19750,-1
19750,1244.5079348883237
20125,-1
21250,1479.9776908465376
21625,-1
22000,1661.2187903197807
22375,-1
22750,622.2539674441618
24250,-1
24250,739.9888454232688
24437,-1
24531,698.4564628660079
24718,-1
24812,659.2551138257397
25000,-1
25093,622.2539674441618
25281,-1
25375,587.3295358348153
25562,-1
25562,554.3652619537442
25750,-1
25750,622.2539674441618
27250,-1
27250,739.9888454232688
28750,-1
28750,830.6093951598904
30250,-1
30250,622.2539674441618
31750,-1
31750,622.2539674441618
33250,-1
33250,739.9888454232688
34750,-1
34750,830.6093951598904
36250,-1
36250,739.9888454232688
36437,-1
36531,698.4564628660079
36718,-1
36812,659.2551138257397
37000,-1
37093,622.2539674441618
37281,-1
37375,587.3295358348153
37562,-1
37562,554.3652619537442
37750,-1
62500,1479.9776908465376
62875,-1
62875,1396.9129257320158
63062,-1
63062,1244.5079348883237
63437,-1
63437,1108.7305239074883
63812,-1
63812,1479.9776908465376
64187,-1
64187,1479.9776908465376
64375,-1
64375,1396.9129257320158
64562,-1
64562,1396.9129257320158
64750,-1
64750,1244.5079348883237
64937,-1
64937,1108.7305239074883
65125,-1
65125,1108.7305239074883
65500,-1
65500,1108.7305239074883
65687,-1
65687,1244.5079348883237
66062,-1
66250,1108.7305239074883
66437,-1
66437,1244.5079348883237
66812,-1
67000,1108.7305239074883
67187,-1
67187,1244.5079348883237
67375,-1
67375,1244.5079348883237
67562,-1
67562,1396.9129257320158
67937,-1
67937,1244.5079348883237
68125,-1
68125,1396.9129257320158
68312,-1
68312,1396.9129257320158
68500,-1
68500,1479.9776908465376
68875,-1
68875,1396.9129257320158
69062,-1
69062,1244.5079348883237
69437,-1
69437,1108.7305239074883
69812,-1
69812,1479.9776908465376
70187,-1
70187,1479.9776908465376
70375,-1
70375,1396.9129257320158
70562,-1
70562,1396.9129257320158
70750,-1
70750,1244.5079348883237
70937,-1
70937,1108.7305239074883
71125,-1
71125,1108.7305239074883
71500,-1
71500,1479.9776908465376
71875,-1
72250,1244.5079348883237
72625,-1
72812,1396.9129257320158
73187,-1
73187,1396.9129257320158
73375,-1
